UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Park,NumberPark
102,April 06 2015,1,Chihuahua Crossbreed,4M,M,FALSE,Brooklyn,11205,TRUE,6
103,April 06 2015,1,"Poodle, Standard",2,M,FALSE,Brooklyn,11213,TRUE,0
104,April 07 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11231,TRUE,0
105,April 01 2015,1,Bull Terrier,1,M,FALSE,Brooklyn,11201,TRUE,0
106,April 08 2015,1,CATAHOULA LEOPARD DOG,1,M,TRUE,Brooklyn,11235,TRUE,0
107,April 06 2015,1,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219,TRUE,4
108,April 10 2015,1,Cocker Spaniel Crossbreed,5,M,TRUE,Brooklyn,11206,TRUE,0
109,April 03 2015,1,BOXER/HOUND/PITBULL,6,F,TRUE,Brooklyn,11216,TRUE,0
110,April 12 2015,1,German Shepherd,11,F,TRUE,Brooklyn,11209,TRUE,0
111,April 10 2015,1,"Bull Dog, English",9M,M,FALSE,Brooklyn,11220,TRUE,0
112,April 10 2015,1,American Pit Bull Terrier/Pit Bull,6M,M,FALSE,Brooklyn,11224,TRUE,0
113,April 12 2015,1,Chihuahua,9,F,TRUE,Brooklyn,11224,TRUE,0
114,April 13 2015,1,Pit Bull,9,M,FALSE,Brooklyn,11207,TRUE,0
115,April 13 2015,1,Chihuahua,9M,M,FALSE,Brooklyn,11208,TRUE,0
116,April 14 2015,1,American Pit Bull Mix / Pit Bull Mix,2,F,TRUE,Brooklyn,11216,TRUE,0
117,April 10 2015,1,American Pit Bull Terrier/Pit Bull,3,M,TRUE,Brooklyn,11201,TRUE,0
118,April 10 2015,1,Siberian Husky,,U,FALSE,Brooklyn,11226,TRUE,3
119,April 14 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
120,April 16 2015,1,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn,11208,TRUE,0
121,April 16 2015,1,Rottweiler,1,M,TRUE,Brooklyn,11228,TRUE,0
122,April 14 2015,1,Beagle Crossbreed,19,M,FALSE,Brooklyn,11214,TRUE,0
123,April 18 2015,1,AUSTRALIAN CATTLE,,F,FALSE,Brooklyn,11201,TRUE,0
124,April 11 2015,1,Pit Bull,,U,FALSE,Brooklyn,11207,TRUE,0
125,April 15 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
126,April 19 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11221,TRUE,0
127,April 19 2015,1,German Shepherd Crossbreed,15,F,TRUE,Brooklyn,11222,TRUE,10
128,April 17 2015,1,Border Terrier,3,M,TRUE,Brooklyn,11201,TRUE,0
129,April 17 2015,1,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11231,TRUE,0
130,April 19 2015,1,ITALIAN MASTIFF,3,F,FALSE,Brooklyn,11221,TRUE,0
131,April 12 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11235,TRUE,0
132,April 19 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11221,TRUE,0
133,April 17 2015,1,BEAGLE/JACK RUSS,4,M,TRUE,Brooklyn,11224,TRUE,12
134,April 19 2015,1,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn,11218,TRUE,0
135,April 22 2015,1,Maltese,7,F,TRUE,Brooklyn,11237,TRUE,0
136,April 23 2015,1,Cane Corso,15,F,FALSE,Brooklyn,11238,TRUE,7
137,April 23 2015,1,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn,11231,TRUE,0
138,April 24 2015,1,"Poodle, Standard",,U,FALSE,Brooklyn,11221,TRUE,0
139,April 25 2015,1,Shih Tzu,5,M,TRUE,Brooklyn,11219,TRUE,0
140,April 26 2015,1,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212,TRUE,13
141,April 25 2015,1,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11221,TRUE,0
142,April 25 2015,1,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11221,TRUE,0
185,May 09 2015,1,Siberian Husky,,U,FALSE,Brooklyn,11201,TRUE,0
143,April 27 2015,1,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,11218,TRUE,0
144,April 20 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11218,TRUE,0
145,April 25 2015,1,UNKNOWN,,U,FALSE,Brooklyn,11201,TRUE,0
146,April 25 2015,1,German Shepherd,7,M,TRUE,Brooklyn,11234,TRUE,0
147,April 11 2015,1,American Pit Bull Terrier/Pit Bull,3,F,TRUE,Brooklyn,11220,TRUE,0
148,April 29 2015,1,Pug,3,M,TRUE,Brooklyn,11223,TRUE,2
149,April 29 2015,1,POINTER/BEAGLE X,7,F,FALSE,Brooklyn,11249,TRUE,4
150,April 29 2015,1,SHIBA INU,5,M,TRUE,Brooklyn,11221,TRUE,0
151,April 26 2015,1,Chihuahua,2,F,FALSE,Brooklyn,11220,TRUE,0
152,April 30 2015,1,GERMAN SHEPHERD/RIDGEBACK,5,M,TRUE,Brooklyn,11231,TRUE,0
153,May 01 2015,1,Bichon Frise,8,M,TRUE,Brooklyn,11223,TRUE,0
154,May 01 2015,1,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn,11221,TRUE,0
155,April 19 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11223,TRUE,0
156,May 02 2015,1,Chihuahua Crossbreed,,U,FALSE,Brooklyn,11214,TRUE,0
157,May 02 2015,1,"Collie, Border",14,M,TRUE,Brooklyn,11234,TRUE,0
158,May 04 2015,1,American Pit Bull Mix / Pit Bull Mix,8M,M,FALSE,Brooklyn,11204,TRUE,0
159,May 04 2015,1,Belgian Malinois,,U,FALSE,Brooklyn,11213,TRUE,0
160,May 01 2015,1,Boxer,2,M,TRUE,Brooklyn,11237,TRUE,0
161,May 01 2015,1,MALTESE - X,3,F,FALSE,Brooklyn,11209,TRUE,0
162,May 05 2015,1,German Shepherd,,U,FALSE,Brooklyn,11220,TRUE,0
163,May 01 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
164,May 06 2015,1,"Collie, Smooth Coat",10,F,TRUE,Brooklyn,11220,TRUE,0
165,May 06 2015,1,CHIHUAHUA/BOSTON TERR X,5,M,TRUE,Brooklyn,11222,TRUE,0
166,April 08 2015,1,HUSKY/CATTLE DOG MIX,4,M,TRUE,Brooklyn,11201,TRUE,0
167,April 08 2015,1,HUSKY/CATTLE MIX,4,M,TRUE,Brooklyn,11201,TRUE,0
168,May 10 2015,1,American Pit Bull Terrier/Pit Bull,13,M,TRUE,Brooklyn,11234,TRUE,0
169,May 10 2015,1,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228,TRUE,0
170,May 09 2015,1,Siberian Husky,14,M,TRUE,Brooklyn,11231,TRUE,0
171,May 09 2015,1,American Pit Bull Mix / Pit Bull Mix,5,F,TRUE,Brooklyn,11208,TRUE,0
172,May 01 2015,1,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217,TRUE,0
173,May 03 2015,1,American Pit Bull Terrier/Pit Bull,,F,FALSE,Brooklyn,11231,TRUE,0
174,May 07 2015,1,Australian Shepherd,5,M,TRUE,Brooklyn,11238,TRUE,0
175,May 09 2015,1,American Pit Bull Terrier/Pit Bull,8,M,TRUE,Brooklyn,11219,TRUE,0
176,May 11 2015,1,American Pit Bull Terrier/Pit Bull,2,F,FALSE,Brooklyn,11218,TRUE,0
177,April 25 2015,1,Shih Tzu,4,M,TRUE,Brooklyn,11226,TRUE,3
178,May 03 2015,1,Pit Bull,,U,FALSE,Brooklyn,11235,TRUE,0
179,May 10 2015,1,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn,11201,TRUE,0
180,May 12 2015,1,American Pit Bull Mix / Pit Bull Mix,5,M,TRUE,Brooklyn,11213,TRUE,0
181,May 12 2015,1,Bloodhound,4,M,TRUE,Brooklyn,11231,TRUE,0
182,May 12 2015,1,Jack Russ,10,M,TRUE,Brooklyn,11215,TRUE,0
183,May 14 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11211,TRUE,21
184,May 14 2015,1,"Cocker Spaniel, American",10,M,TRUE,Brooklyn,11220,TRUE,0
186,May 14 2015,1,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn,11232,TRUE,0
187,May 12 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
188,April 28 2015,1,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn,11234,TRUE,0
189,May 15 2015,1,Cocker Spaniel Crossbreed,,M,FALSE,Brooklyn,11205,TRUE,6
190,May 18 2015,1,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211,TRUE,0
191,May 18 2015,1,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211,TRUE,0
192,January 08 2015,1,American Pit Bull Terrier/Pit Bull,1,M,TRUE,Brooklyn,11224,TRUE,12
193,May 12 2015,1,Cane Corso,5,F,TRUE,Brooklyn,11233,TRUE,0
194,May 05 2015,1,TERRIER,,U,FALSE,Brooklyn,11201,TRUE,0
195,May 16 2015,1,BORDER COLLIE/JACK RUSSELL,11M,F,TRUE,Brooklyn,11201,TRUE,0
196,May 06 2015,1,CORGI,,M,FALSE,Brooklyn,11222,TRUE,0
197,May 21 2015,1,Shih Tzu,,U,FALSE,Brooklyn,11229,TRUE,0
198,May 20 2015,1,MUTT,1,F,TRUE,Brooklyn,11201,TRUE,0
199,May 24 2015,1,MIXED,2,M,TRUE,Brooklyn,11201,TRUE,0
200,May 24 2015,1,PIT BULL/LAB X,2,F,FALSE,Brooklyn,11236,TRUE,0
201,May 24 2015,1,PIT BULL/LAB X,2,F,FALSE,Brooklyn,11236,TRUE,0
202,May 24 2015,1,Labrador Retriever,,U,FALSE,Brooklyn,11215,TRUE,0
203,May 25 2015,1,Labrador Retriever,3,F,FALSE,Brooklyn,11234,TRUE,0
204,May 25 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
205,May 23 2015,1,"Mastiff, Tibetan",1,M,TRUE,Brooklyn,11214,TRUE,0
206,May 23 2015,1,MALTESE MIX,4,M,TRUE,Brooklyn,11201,TRUE,0
207,May 24 2015,1,SCHNAUZER,,M,FALSE,Brooklyn,11215,TRUE,0
208,May 28 2015,1,Pit Bull,,U,FALSE,Brooklyn,11237,TRUE,0
209,May 24 2015,1,Pit Bull,,U,FALSE,Brooklyn,11221,TRUE,0
210,May 23 2015,1,American Pit Bull Mix / Pit Bull Mix,6,M,TRUE,Brooklyn,11205,TRUE,0
211,May 28 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11213,TRUE,0
212,May 28 2015,1,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn,11236,TRUE,0
213,May 26 2015,1,Saint Bernard,,U,FALSE,Brooklyn,11214,TRUE,0
214,May 28 2015,1,Chihuahua,,U,FALSE,Brooklyn,11208,TRUE,0
215,May 30 2015,1,West High White Terrier,4,M,FALSE,Brooklyn,11224,TRUE,0
216,May 30 2015,1,West High White Terrier,4,M,FALSE,Brooklyn,11224,TRUE,0
217,May 31 2015,1,Chihuahua,1,M,FALSE,Brooklyn,11207,TRUE,0
218,May 30 2015,1,"Collie, Border",,U,FALSE,Brooklyn,11211,TRUE,0
219,May 29 2015,1,Labrador Retriever Crossbreed,8,F,TRUE,Brooklyn,11229,TRUE,0
220,May 31 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
221,June 01 2015,1,American Pit Bull Terrier/Pit Bull,,U,FALSE,Brooklyn,11207,TRUE,0
222,June 02 2015,1,Chow Chow,1,M,FALSE,Brooklyn,11233,TRUE,0
223,June 02 2015,1,Doberman Pinscher,7,M,TRUE,Brooklyn,11228,TRUE,0
224,June 01 2015,1,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217,TRUE,0
225,May 27 2015,1,TEACUP YORKIE,,U,FALSE,Brooklyn,11201,TRUE,0
226,June 03 2015,1,SHORKY,8,M,TRUE,Brooklyn,11238,TRUE,0
227,May 31 2015,1,HAVANESE X,4,M,TRUE,Brooklyn,11236,TRUE,0
228,May 27 2015,1,Mix,9,M,TRUE,Brooklyn,11237,TRUE,0
229,June 04 2015,1,Pit Bull,3,F,TRUE,Brooklyn,11226,TRUE,3
230,June 04 2015,1,Pit Bull,4,M,FALSE,Brooklyn,11226,TRUE,0
231,June 04 2015,1,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214,TRUE,0
232,June 06 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
233,June 06 2015,1,Chow Chow,4,M,FALSE,Brooklyn,11234,TRUE,0
234,June 05 2015,1,Lhasa Apso,5,M,TRUE,Brooklyn,11231,TRUE,0
235,June 06 2015,1,Stanard Poodle,3,M,TRUE,Brooklyn,11234,TRUE,0
236,June 07 2015,1,German Shorthaired Pointer,8,F,TRUE,Brooklyn,11231,TRUE,0
237,May 30 2015,1,Mix,,U,FALSE,Brooklyn,11211,TRUE,0
238,May 30 2015,1,Chow Chow,2,M,FALSE,Brooklyn,11208,TRUE,0
239,June 05 2015,1,Yorkshire Terrier,,U,FALSE,Brooklyn,11221,TRUE,0
240,June 10 2015,1,Pit Bull,,U,FALSE,Brooklyn,11237,TRUE,0
241,June 09 2015,1,Pit Bull,,U,FALSE,Brooklyn,11213,TRUE,0
242,June 10 2015,1,Cane Corso,2,M,FALSE,Brooklyn,11224,TRUE,0
243,June 09 2015,1,English Setter,6,M,FALSE,Brooklyn,11201,TRUE,0
244,June 09 2015,1,Mix,2,F,FALSE,Brooklyn,11208,TRUE,0
245,June 09 2015,1,Pit Bull,,U,FALSE,Brooklyn,11224,TRUE,0
246,June 12 2015,1,Pit Bull,,U,FALSE,Brooklyn,11233,TRUE,0
247,June 12 2015,1,Maltese,,U,FALSE,Brooklyn,11235,TRUE,0
248,June 14 2015,1,Mix,6,M,TRUE,Brooklyn,11201,TRUE,0
249,June 14 2015,1,Pit Bull,,U,FALSE,Brooklyn,11208,TRUE,0
250,June 13 2015,1,Pit Bull,,U,FALSE,Brooklyn,11201,TRUE,0
251,June 14 2015,1,Jack Russel,3,F,TRUE,Brooklyn,11201,TRUE,0
252,June 12 2015,1,Jack Russell,2,M,TRUE,Brooklyn,11235,TRUE,0
253,June 12 2015,1,Pit Bull,,U,FALSE,Brooklyn,11216,TRUE,0
254,June 16 2015,1,Mix,1,F,FALSE,Brooklyn,11215,TRUE,0
255,June 14 2015,1,American Eskimo,5,M,TRUE,Brooklyn,11230,TRUE,3
256,June 19 2015,1,American Staffordshire Terrier,7,F,TRUE,Brooklyn,11233,TRUE,0
257,June 18 2015,1,Mix,,U,FALSE,Brooklyn,11228,TRUE,0
258,June 07 2015,1,Chihuahua,3,M,TRUE,Brooklyn,11217,TRUE,0
259,June 22 2015,1,Golden Retriever,12,F,TRUE,Brooklyn,11229,TRUE,0
260,June 22 2015,1,Mix,1,M,FALSE,Brooklyn,11217,TRUE,0
261,June 21 2015,1,Chihuahua,,U,FALSE,Brooklyn,11201,TRUE,0
262,June 19 2015,1,Pit Bull,5,M,TRUE,Brooklyn,11211,TRUE,0
263,June 19 2015,1,Pit Bull,,U,FALSE,Brooklyn,11229,TRUE,0
264,June 18 2015,1,Pit Bull,2,M,TRUE,Brooklyn,11235,TRUE,0
265,June 22 2015,1,Maltese,7,F,TRUE,Brooklyn,11220,TRUE,0
266,June 21 2015,1,Jack Russell,12,F,TRUE,Brooklyn,11201,TRUE,0
267,June 23 2015,1,Pit Bull,1,M,FALSE,Brooklyn,11233,TRUE,0
268,June 24 2015,1,Pit Bull,,M,FALSE,Brooklyn,11230,TRUE,0
269,June 26 2015,1,UNKNOWN,,U,FALSE,Brooklyn,11220,TRUE,0
270,June 24 2015,1,Pit Bull,,U,FALSE,Brooklyn,11224,TRUE,0
271,June 25 2015,1,American Staffordshire Terrier,3,M,FALSE,Brooklyn,11201,TRUE,0
272,June 28 2015,1,Pit Bull,5,M,FALSE,Brooklyn,11203,TRUE,6
273,June 26 2015,1,Maltese,1,M,FALSE,Brooklyn,11236,TRUE,0
274,June 24 2015,1,Pit Bull,,U,FALSE,Brooklyn,11231,TRUE,0
275,June 21 2015,1,Pit Bull,,U,FALSE,Brooklyn,11230,TRUE,0
276,June 19 2015,1,Pit Bull,,U,FALSE,Brooklyn,11229,TRUE,0
277,June 21 2015,1,Mix,2,M,FALSE,Brooklyn,11213,TRUE,0
278,July 01 2015,1,Vizsla,4,M,TRUE,Brooklyn,11249,TRUE,4
279,June 29 2015,1,Pit Bull,,U,FALSE,Brooklyn,11224,TRUE,0
280,July 02 2015,1,Pit Bull,,U,FALSE,Brooklyn,11219,TRUE,0
281,March 17 2015,1,Jack Russell,10,M,FALSE,Brooklyn,11221,TRUE,0
282,July 02 2015,1,Golden Retriever,,U,FALSE,Brooklyn,11201,TRUE,0
283,July 05 2015,1,Pit Bull,,U,FALSE,Brooklyn,11213,TRUE,0
284,June 13 2015,1,Mix,8,F,TRUE,Brooklyn,11201,TRUE,0
285,June 22 2015,1,Pit Bull,,U,FALSE,Brooklyn,11236,TRUE,0
286,July 04 2015,1,Pit Bull,2,M,FALSE,Brooklyn,11201,TRUE,0
287,July 02 2015,1,Chihuahua,3,M,FALSE,Brooklyn,11212,TRUE,0
288,July 03 2015,1,Mix,12,M,FALSE,Brooklyn,11207,TRUE,0
289,July 04 2015,1,Yorkshire Terrier,,U,FALSE,Brooklyn,11210,TRUE,5
290,July 04 2015,1,Mix,6,M,TRUE,Brooklyn,11212,TRUE,0
291,June 29 2015,1,Mix,6,M,TRUE,Brooklyn,11231,TRUE,0
292,July 08 2015,1,English Setter,6,M,FALSE,Brooklyn,11235,TRUE,0
293,July 07 2015,1,Mix,,U,FALSE,Brooklyn,11216,TRUE,0
294,July 05 2015,1,Wire Fox Terrier,8,M,TRUE,Brooklyn,11205,TRUE,0
295,July 12 2015,1,Mix,3,F,FALSE,Brooklyn,11216,TRUE,0
296,July 14 2015,1,Mix,2,M,FALSE,Brooklyn,11221,TRUE,0
